W	PRON	NL	NN	NPN	BFNT	TFNT	NP
holf	hQlf	4	6	1	266000	12136	4
vourse	v9s	6	2	15	826196	77931	3
guarl	g#l	5	1	17	280698	4785	3
grourg	gr9g	6	0	2	750716	111880	4
ghinck	gINk	6	0	12	1030728	44169	4
sweemb	swim	6	0	10	425942	26706	4
psegg	sEg	5	0	13	274338	2431	3
gralch	gr{lJ	6	0	0	444261	8382	5
phowt	f6t	5	0	22	353822	31070	3
ralmb	r{lm	5	0	1	208651	2509	4
tordge	t9_	6	0	15	1440254	21706	3
dweuse	dwus	6	0	1	555976	66164	4
kolv	kQlv	4	0	2	63295	804	4
ghrylp	grIlp	6	0	3	164566	0	5
cheent	Jint	6	0	2	2410459	104440	4
dwolmb	dwQlm	6	0	0	191283	201	5
gherge	g3_	6	0	12	2174104	167575	3
phoomn	fum	6	0	17	495748	24777	3
glewph	gluf	6	0	3	198813	1149	4
glilce	glIls	6	0	0	303826	561	5
treish	tr1S	6	0	9	1019085	21890	4
pieff	p2f	5	0	15	83560	5939	3
kulph	kVlf	5	0	4	127692	1438	4
nainte	n1nt	6	0	5	735776	32135	4
fluss	flVs	5	3	7	205293	2871	4
dweif	dw1f	5	0	1	301377	2412	4
pseng	sEN	5	0	12	554897	12570	3
vasp	v{sp	4	7	1	456139	2324	4
greunn	grun	6	0	12	504405	19023	4
spleck	splEk	6	0	0	276299	8593	5
blooff	bluf	6	0	4	803607	49056	4
thowth	T6T	6	0	3	4136517	59504	3
clelse	klEls	6	0	0	525886	18812	5
sheent	Sint	6	0	1	2369562	169024	4
huss	hVs	4	13	21	190380	3834	3
daule	d9l	5	0	29	294238	4151	3
bourmb	b9m	6	0	24	577817	52646	3
dalse	d{ls	5	2	1	443186	7850	4
streth	strET	6	1	4	2663642	41739	5
ghwant	gw{nt	6	0	1	1146728	30400	5
plurt	pl3t	5	0	6	172474	6948	4
swurlt	sw3lt	6	0	2	127388	946	5
whighm	w2m	6	0	24	786689	145290	3
goaff	g5f	5	0	9	104036	3709	3
freish	fr1S	6	0	7	1055329	15037	4
joln	_Qln	4	3	0	78603	42	4
twaik	tw1k	5	1	3	422370	2740	4
blipe	bl2p	5	1	4	176316	5688	4
jeal	_il	4	10	22	355655	10107	3
chusk	JVsk	5	2	7	369572	7083	4
shormn	S9m	6	0	13	738739	52941	3
quott	kwQt	5	2	11	152133	636	4
squett	skwEt	6	0	2	99259	5626	5
knooke	nuk	6	0	7	556917	83698	3
chache	J{S	6	0	14	2791033	53668	3
rolgn	rQln	5	0	0	251815	3994	4
dwesp	dwEsp	5	0	0	376272	3409	5
twoath	tw5T	6	0	1	2470676	36499	4
shimb	SIm	5	0	16	611659	49950	3
paumn	p9m	5	0	21	66041	1035	3
sckeev	skiv	6	0	6	402583	14956	4
thwon	TwQn	5	0	1	2268196	1240	4
werne	w3n	5	0	32	603480	70088	3
zeeph	zif	5	0	9	216422	13002	3
pasc	p{sk	4	2	1	487693	8793	4
gleive	gl1v	6	0	7	388098	31936	4
shryln	SrIln	6	0	2	201675	2388	5
drawlt	dr9lt	6	1	2	126225	9871	5
sprief	spr2f	6	0	2	174952	29875	5
sckoil	sk4l	6	0	8	228005	4571	4
cluimn	klum	6	0	7	159934	2655	4
rhourp	r9p	6	0	13	704837	98778	3
snarmb	sn#m	6	0	1	285703	11982	4
brurk	br3k	5	0	5	166355	1147	4
yuinte	junt	6	0	0	639186	12655	4
veegn	vin	5	0	18	347220	45	3
krymf	krImf	5	0	1	7687	0	5
tworce	tw9s	6	0	1	607522	78574	4
jorke	_9k	5	0	17	538566	24069	3
preele	pril	6	0	5	810988	46095	4
smyn	smIn	4	0	3	63186	0	4
sckelp	skElp	6	0	1	306377	16010	5
craibb	kr1b	6	0	9	191054	17569	4
phimf	fImf	5	0	2	455809	44445	4
choalt	J5lt	6	0	6	570195	19024	4
laif	l1f	4	4	22	274972	5195	3
dwaitt	dw1t	6	0	0	728819	7014	4
phrab	fr{b	5	0	3	106481	2118	4
fliell	fl2l	6	0	3	438625	46202	4
sprorn	spr9n	6	0	2	619453	13047	5
mintch	mInJ	6	0	9	776454	32780	4
meash	miS	5	1	14	1018506	36677	3
treth	trET	5	3	6	2410476	16984	4
thont	TQnt	5	1	2	2414017	39837	4
thwulf	TwVlf	6	0	0	2014919	294	5
frowle	fr6l	6	0	5	573070	92385	4
peebb	pib	5	0	16	236207	3788	3
dwuf	dwVf	4	0	1	2945	0	4
vimp	vImp	4	3	4	106626	874	4
rhelge	rEl_	6	0	1	1897102	15159	4
vowth	v6T	5	0	5	2050765	4340	3
wremf	rEmf	5	0	0	458435	652	4
shreip	Sr1p	6	0	3	653885	16275	4
scimf	skImf	5	0	3	113293	0	5
volge	vQl_	5	0	0	133559	203	4
ghalmn	g{lm	6	0	1	804867	13949	4
blaln	bl{ln	5	0	0	255981	8399	5
drawnt	dr9nt	6	0	0	230741	11820	5
plougn	pl6n	6	1	6	611054	43737	4
traibb	tr1b	6	0	7	233019	28814	4
sep	sEp	3	13	18	271068	0	3
gheepe	gip	6	0	17	2116230	20715	3
gwarr	gw#	5	0	0	498282	10504	3
smimph	smImf	6	0	0	162426	5335	5
gnean	nin	5	1	27	1105747	20267	3
tralb	tr{lb	5	0	0	261523	15894	5
clooge	klu_	6	0	0	345574	42106	4
florl	fl9l	5	0	5	494296	21865	4
goack	g5k	5	0	16	240426	37708	3
cleinn	kl1n	6	0	11	690969	9256	4
murph	m3f	5	0	7	120691	41	3
prulgn	prVln	6	0	0	165167	3044	5
shrilf	SrIlf	6	1	2	391358	5169	5
tuik	tuk	4	3	18	70737	0	3
fratt	fr{t	5	0	9	569228	8326	4
squac	skw{k	5	4	2	115792	5934	5
sabe	s1b	4	9	14	277284	43	3
pheake	fik	6	0	26	2146680	72304	3
vinge	vIn_	5	5	0	611640	42908	4
gleic	gl1k	5	0	4	285275	386	4
cherph	J3f	6	0	9	2189431	170645	3
viege	vi_	5	2	4	115289	4900	3
gnilv	nIlv	5	0	0	137210	117	4
boarlt	b9lt	6	0	14	348108	6807	4
vawsh	v9S	5	0	1	188726	1645	3
fif	fIf	3	7	13	125851	498	3
dwusp	dwVsp	5	0	0	163043	3	5
dweesh	dwiS	6	0	0	685734	16021	4
throom	Trum	6	0	3	2410240	77856	4
flaumb	fl9m	6	0	6	141426	9046	4
snouse	sn6s	6	1	1	1008750	87406	4
keinge	k1n_	6	0	2	794446	44087	4
darg	d#g	4	4	7	285176	12366	3
trarge	tr#_	6	0	1	446359	35275	4
sckack	sk{k	6	0	7	248242	35561	4
twauf	tw9f	5	0	2	295513	38	4
chauff	J9f	6	0	6	785199	20940	3
sckeag	skig	6	0	3	448802	8317	4
freuve	fruv	6	0	3	644445	8174	4
gnulte	nVlt	6	0	2	228048	1059	4
krorte	kr9t	6	0	6	684592	14921	4
spal	sp{l	4	6	7	210433	6208	4
thot	TQt	4	5	18	2227599	32263	3
whame	w1m	5	3	30	1080296	81547	3
shoob	Sub	5	2	5	510506	50370	3
skorm	sk9m	5	1	9	408844	8317	4
nef	nEf	3	4	10	185456	0	3
drolge	drQl_	6	0	0	339676	8608	5
clawt	kl9t	5	1	7	152846	12042	4
narne	n#n	5	0	11	447506	15190	3
stee	sti	4	3	10	527023	13238	3
hesck	hEsk	5	0	2	2011613	23987	4
scoth	skQT	5	2	4	2135687	18023	4
yuzz	jVz	4	2	13	555	176	3
smilge	smIl_	6	0	0	241100	13675	5
narch	n#J	5	3	6	463012	10576	3
cleef	klif	5	0	6	368096	11319	4
speaph	spif	6	0	4	313798	17557	4
yiebb	j2b	5	0	2	40350	566	3
cieph	s2f	5	0	20	64403	11	3
drerce	dr3s	6	0	2	750778	12751	4
plerpe	pl3p	6	0	2	459533	3996	4
duntch	dVnJ	6	0	8	346920	16034	4
snawk	sn9k	5	1	10	31091	2010	4
veight	v1t	6	2	23	475226	148607	3
swourv	sw9v	6	0	7	639026	101045	4
woule	w6l	5	2	18	798923	151533	3
trolge	trQl_	6	0	0	376282	9754	5
stabe	st1b	5	7	12	493669	31385	4
fleeff	flif	6	0	5	369838	6609	4
pholl	fQl	5	0	26	474705	16040	3
smeill	sm1l	6	0	6	628612	69241	4
gev	_Ev	3	7	8	68281	0	3
gwarl	gw#l	5	0	0	518405	10923	4
heish	h1S	5	0	8	2317326	57431	3
wharph	w#f	6	0	10	1049066	57797	3
kalb	k{lb	4	0	0	137447	1	4
knuite	nut	6	0	29	518135	31719	3
crooll	krul	6	0	9	623772	34640	4
thrack	Tr{k	6	1	4	2154213	74243	4
bilve	bIlv	5	1	5	291036	5180	4
gleigg	gl1g	6	0	3	278689	5601	4
qualph	kw{lf	6	0	0	170362	4629	5
slarb	sl#b	5	0	3	355372	8973	4
radd	r{d	4	2	42	244458	4964	3
altch	{lJ	5	1	1	364308	16664	3
frybe	fr2b	5	0	5	280172	213	4
plauk	pl9k	5	1	2	147467	30290	4
blike	bl2k	5	1	7	280562	71732	4
hirgn	h3n	5	0	18	480105	4773	3
dwaff	dw{f	5	1	1	277179	2403	4
gheeph	gif	6	0	11	2069867	20637	3
starne	st#n	6	1	12	754150	53994	4
zig	zIg	3	10	12	73816	0	3
clope	kl5p	5	5	10	208183	22765	4
blaup	bl9p	5	0	2	184896	11504	4
rylc	rIlk	4	0	5	9305	0	4
drotch	drQJ	6	1	3	556339	19165	4
tirch	t3J	5	2	15	378230	7349	3
pseubb	sub	6	0	10	274965	1210	3
fraln	fr{ln	5	0	0	297604	4615	5
mirph	m3f	5	1	7	151187	90	3
sirnt	s3nt	5	0	8	237723	3613	4
krulmb	krVlm	6	0	0	149397	2682	5
frilge	frIl_	6	2	2	355663	8322	5
rhowle	r6l	6	0	19	486485	29318	3
phegue	fEg	6	0	13	1787916	4855	3
slaln	sl{ln	5	1	0	248030	1934	5
craile	kr1l	6	0	14	442648	45843	4
tarv	t#v	4	4	7	310648	8454	3
pselce	sEls	6	0	8	430186	2735	4
knirf	n3f	5	0	6	158308	1102	3
kusque	kVsk	6	0	10	167803	5624	4
whug	wVg	4	3	18	311325	2162	3
quault	kw9lt	6	0	1	165287	4907	5
phlith	flIT	6	0	5	2360525	122189	4
briss	brIs	5	4	10	499315	19859	4
twoph	twQf	5	0	2	180643	22682	4
crizz	krIz	5	1	10	96153	3374	4
smymb	smIm	5	0	4	68275	0	4
yerk	j3k	4	4	17	318585	1428	3
prerfe	pr3f	6	0	2	705132	5188	4
gnoov	nuv	5	0	7	365328	602	3
smuy	sm2	4	2	5	57517	134	3
lylve	lIlv	5	0	1	160826	2908	4
brelth	brElT	6	1	1	2412519	18840	5
usk	Vsk	3	3	1	157876	403	3
strear	str7	6	2	3	1165156	147608	4
rooch	ruJ	5	3	20	540323	14302	3
krozz	krQz	5	0	11	188483	91	4
peumb	pum	5	1	19	63152	932	3
gwalth	gw{lT	6	0	0	2302316	17779	5
woam	w5m	4	6	18	199308	254	3
skrerf	skr3f	6	0	1	653128	23	5
sckorg	sk9g	6	0	4	458403	1799	4
splite	spl2t	6	3	4	616783	24323	5
snolf	snQlf	5	0	0	268644	2005	5
ghrurk	gr3k	6	0	1	282727	1472	4
troack	tr5k	6	0	10	428698	48912	4
snilph	snIlf	6	0	0	148211	1203	5
clourp	kl9p	6	0	6	636785	66496	4
frone	fr5n	5	6	10	709006	166410	4
kornt	k9nt	5	0	14	452014	4741	4
graw	gr9	4	7	4	128101	11399	3
geegue	_ig	6	0	7	282984	4619	3
ghwauf	gw9f	6	0	2	377885	27	4
thaull	T9l	6	0	20	2786322	233523	3
sweutt	swut	6	0	8	347290	3268	4
slene	slin	5	1	7	530627	8131	4
ghlune	glun	6	0	5	356440	4389	4
goarmn	g9m	6	0	17	349328	14384	3
stynn	stIn	5	0	12	260095	1865	4
skadge	sk{_	6	0	4	276360	6013	4
snirck	sn3k	6	0	6	203958	296	4
dwenn	dwEn	5	0	2	386141	11896	4
dorth	d9T	5	3	10	2454549	24863	3
tursh	t3S	5	0	9	315908	24376	3
plymb	plIm	5	1	5	40452	42	4
gnount	n6nt	6	0	5	759574	43145	4
rhawlt	r9lt	6	0	5	592623	1387	4
nulf	nVlf	4	2	1	122634	273	4
phobe	f5b	5	2	10	390177	2319	3
flieff	fl2f	6	0	3	180611	8982	4
frodd	frQd	5	1	11	328414	79127	4
diz	dIz	3	7	24	29053	0	3
skorse	sk9s	6	0	5	700075	20637	4
roache	r5S	6	0	20	2248030	42684	3
croite	kr4t	6	0	1	689385	26228	4
sckaf	sk{f	5	0	8	92956	0	4
newl	njul	4	2	5	224152	28110	4
splugg	splVg	6	0	0	131150	3856	5
squyt	skwIt	5	1	4	22599	3208	5
snurce	sn3s	6	1	0	182723	11218	4
cern	s3n	4	4	28	343989	336	3
sloone	slun	6	0	8	677214	115694	4
psumf	sVmf	5	0	3	51393	816	4
draim	dr1m	5	1	8	286346	22695	4
blemp	blEmp	5	1	0	222549	1510	5
ulmb	Vlm	4	0	1	121662	2	3
thoarg	T9g	6	0	6	2366353	39143	3
troun	tr6n	5	1	6	737436	87175	4
dwerg	dw3g	5	0	0	420759	61179	4
clymf	klImf	5	0	0	35837	13	5
blarfe	bl#f	6	0	1	419993	15698	4
treibb	tr1b	6	0	7	512809	15286	4
foursh	f9S	6	1	15	905967	78631	3
skeeph	skif	6	0	8	365376	28403	4
swomb	swQm	5	0	10	282016	2285	4
ghroil	gr4l	6	0	5	474088	24355	4
skrife	skr2f	6	1	3	225836	17570	5
drufe	druf	5	0	3	111000	1962	4
squarl	skw#l	6	2	2	288099	9601	5
thalck	T{lk	6	0	2	2651938	234833	4
bloage	bl5_	6	0	4	217902	17872	4
plarfe	pl#f	6	0	2	434118	34479	4
yeat	jit	4	11	16	676377	53820	3
guilk	gIlk	5	2	7	162667	8150	4
crarph	kr#f	6	0	0	332286	5933	4
phlait	fl1t	6	0	16	578473	9269	4
ralt	r{lt	4	6	6	219175	5711	4
swoarc	sw9k	6	0	7	407024	7066	4
sheuge	Su_	6	0	4	2025107	83325	3
shrofe	Sr5f	6	1	1	960754	22162	4
phynge	fIn_	6	0	3	162236	13875	4
twilch	twIlJ	6	1	1	522815	40850	5
bomf	bQmf	4	2	3	191223	794	4
garlt	g#lt	5	0	2	300259	803	4
meebe	mib	5	0	9	583798	2596	3
scuick	skuk	6	0	5	198139	13159	4
thys	TIs	4	4	8	1926054	252	3
bulmb	bVlm	5	0	3	223357	1270	4
biltch	bIlJ	6	0	8	360297	18464	4
plub	plVb	4	4	7	54911	3824	4
stob	stQb	4	6	8	1238157	16564	4
ploile	pl4l	6	0	1	407477	27669	4
scirnt	sk3nt	6	0	2	219763	778	5
ghlep	glEp	5	0	1	268256	607	4
wheef	wif	5	1	23	2193008	68028	3
whulph	wVlf	6	0	2	387668	1249	4
sprine	spr2n	6	4	2	755111	41464	5
gweuck	gwuk	6	0	0	284770	5159	4
phoabb	f5b	6	0	10	225334	2377	3
dweish	dw1S	6	0	0	740213	9034	4
knuilt	nult	6	0	1	194503	8660	4
druf	drVf	4	2	4	54239	1962	4
porche	p9S	6	0	15	2349806	30400	3
bease	bis	5	4	24	1063675	35334	3
eelt	ilt	4	7	2	280813	18124	3
floofe	fluf	6	0	4	838453	34939	4
drazz	dr{z	5	0	9	89625	5300	4
phlurk	fl3k	6	0	7	126349	952	4
yeebb	jib	5	0	0	237766	99	3
verfe	v3f	5	3	7	448102	447	3
phirch	f3J	6	0	14	679559	11771	3
sarse	s#s	5	1	9	658993	38948	3
ghlirm	gl3m	6	0	3	333346	1738	4
knufe	njuf	5	1	3	98422	54	4
sogue	s5g	5	2	12	140107	4614	3
dooch	duJ	5	2	7	507303	7247	3
skelck	skElk	6	0	1	301728	8771	5
zerph	z3f	5	0	3	248551	26	3
swisck	swIsk	6	0	0	630878	7480	5
twask	tw{sk	5	0	0	727954	202891	5
soarck	s9k	6	0	35	453507	7232	3
trourn	tr9n	6	0	5	775880	110078	4
scirb	sk3b	5	0	5	127910	3	4
bleem	blim	5	2	9	396941	20072	4
dwuk	dwVk	4	0	0	1517	0	4
ralck	r{lk	5	0	2	267852	871	4
hoolt	hult	5	0	3	422190	24720	4
quorth	kw9T	6	0	2	2315678	25098	4
moark	m9k	5	0	34	379215	11966	3
zeuge	zu_	5	0	1	125124	2009	3
drermn	dr3m	6	0	3	677301	9908	4
slynn	slIn	5	0	9	15945	135	4
queab	kwib	5	0	1	248832	2541	4
sool	sul	4	9	25	314926	17272	3
sutt	sVt	4	5	37	193017	249	3
screc	skrEk	5	2	0	439671	7707	5
stooph	stuf	6	1	9	1402850	49306	4
psazz	s{z	5	0	28	118182	174	3
squymb	skwIm	6	0	3	27237	3208	5
clorc	kl9k	5	0	11	502975	22909	4
gweunn	gwun	6	0	2	239134	270	4
ceul	sul	4	2	25	199626	0	3
cewnt	sjunt	5	0	0	261358	146	5
phirph	f3f	6	0	12	475975	5007	3
cheev	Jiv	5	2	11	2131873	22606	3
trerph	tr3f	6	0	1	694633	14821	4
gurch	g3J	5	2	9	299552	10823	3
swaic	sw1k	5	1	11	450635	3797	4
spline	spl2n	6	2	2	788485	27457	5
nertch	n3J	6	0	10	662771	12454	3
twawph	tw9f	6	0	2	301800	43	4
troolt	trult	6	0	1	472726	32269	5
kreagn	krin	6	0	15	625937	42202	4
craum	kr9m	5	0	7	103233	4062	4
saubb	s9b	5	0	16	122453	744	3
snoarg	sn9g	6	0	6	475432	12234	4
smomn	smQm	5	0	2	251671	2165	4
skreak	skrik	6	1	6	677691	48753	5
stromp	strQmp	6	0	0	657762	102341	6
blarge	bl#_	6	0	0	440980	34610	4
jile	_2l	4	10	19	254997	22089	3
soursh	s9S	6	0	14	836653	73795	3
sheage	Si_	6	0	9	2204305	118617	3
pruige	pru_	6	0	4	207649	2085	4
ghlelf	glElf	6	0	0	332376	1032	5
ghlaf	gl{f	5	0	2	213002	0	4
saig	s1g	4	4	12	279361	50541	3
purnte	p3nt	6	0	10	282267	14354	4
skomn	skQm	5	0	7	173346	0	4
pelch	pElJ	5	4	2	326399	1130	4
spouge	sp6_	6	2	2	603472	53393	4
slobe	sl5b	5	3	8	295799	3555	4
brarmb	br#m	6	0	5	365727	15125	4
trore	tr9	5	2	8	999742	53132	3
trurf	tr3f	5	0	1	167710	10393	4
squith	skwIT	6	0	2	2300315	144738	5
scrimb	skrIm	6	1	4	210612	11081	5
threke	Trik	6	0	6	2463207	46655	4
pharlt	f#lt	6	0	3	842562	14141	4
gnolp	nQlp	5	0	0	270586	76	4
gnaph	n{f	5	2	11	30863	861	3
blailt	bl1lt	6	0	0	361072	24153	5
keet	kit	4	7	35	377993	22992	3
scrigh	skr2	6	0	3	296081	84943	4
tirte	t3t	5	0	29	305821	3763	3
whasp	w{sp	5	0	2	1251813	80964	4
swign	swIn	5	1	16	267040	6804	4
choosh	JuS	6	2	4	765803	26653	3
crolph	krQlf	6	0	0	280955	10261	5
grurnt	gr3nt	6	0	2	245759	13278	5
floke	fl5k	5	3	13	290137	22437	4
daibe	d1b	5	0	13	313434	912	3
chelb	JElb	5	0	0	2026401	31731	4
snez	snEz	4	0	6	176289	231	4
blon	blQn	4	5	6	368423	20275	4
veeth	viT	5	1	5	2296093	17570	3
ralse	r{ls	5	3	4	476335	8650	4
thruit	Trut	6	1	4	2346321	47002	4
spuln	spVln	5	1	0	163598	3584	5
slolph	slQlf	6	0	0	182441	3352	5
shrym	SrIm	5	0	5	200295	2388	4
rhes	rEs	4	2	17	1924113	23990	3
ghrak	gr{k	5	0	7	254654	1006	4
trorne	tr9n	6	0	5	802419	18671	4
vergn	v3n	5	1	16	405546	727	3
torf	t9f	4	5	16	1333241	3145	3
neumb	num	5	0	16	184165	932	3
snolt	snQlt	5	2	0	279903	1741	5
phaich	f1J	6	0	14	944619	65947	3
targe	t#_	5	4	10	385014	27220	3
kawp	k9p	4	1	27	17925	5	3
gwosk	gwQsk	5	0	0	217968	44	5
thwisp	TwIsp	6	0	0	2458224	4718	5
skusck	skVsk	6	0	2	245952	381	5
dwosh	dwQS	5	0	1	348863	209	4
keatch	kiJ	6	0	20	962843	49009	3
neich	n1J	5	2	9	509553	58251	3
styln	stIln	5	1	2	259280	3717	5
ghlosk	glQsk	6	0	1	300766	15379	5
sheeb	Sib	5	4	7	2090606	86865	3
swomf	swQmf	5	0	1	277391	792	5
sholm	SQlm	5	0	0	417769	49670	4
jirv	_3v	4	0	9	111245	0	3
wap	w{p	3	21	27	266271	58	3
whoinn	w4n	6	0	18	928581	67428	3
faibe	f1b	5	0	17	325150	5866	3
sork	s9k	4	9	35	499548	24606	3
shroob	Srub	6	0	3	537067	36245	4
zalc	z{lk	4	1	1	137473	6	4
ghleiv	gl1v	6	0	7	335116	29	4
fulc	fVlk	4	1	4	121445	4701	4
jerte	_3t	5	0	14	376092	452	3
farque	f#k	6	1	16	317035	12924	3
quylm	kwIlm	5	1	2	24372	0	5
snarr	sn#	5	2	8	258381	2163	3
squawp	skw9p	6	2	3	40347	5972	5
vewse	vjus	5	1	4	466098	4323	4
phamn	f{m	5	0	25	616811	2348	3
keithe	k1D	6	0	10	4201539	1431730	3
dwamph	dw{mf	6	0	0	323838	4729	5
troint	tr4nt	6	0	0	801278	28972	5
thwet	TwEt	5	0	3	2131272	1124	4
phrolm	frQlm	6	0	0	293105	24278	5
plath	pl{T	5	1	3	2434917	43365	4
frish	frIS	5	3	5	680020	18931	4
skrawk	skr9k	6	0	2	106475	4502	5
clell	klEl	5	0	2	461737	43665	4
jart	_#t	4	9	15	293803	24474	3
psaush	s9S	6	0	14	418391	10527	3
sprulf	sprVlf	6	0	0	198431	7371	6
waz	w{z	3	8	21	254492	0	3
creuc	kruk	5	0	14	454794	4257	4
fleuve	fluv	6	0	3	309594	2491	4
twimf	twImf	5	0	0	301260	3075	5
prysck	prIsk	6	0	3	136777	63	5
prad	pr{d	4	6	12	261842	5699	4
pheln	fEln	5	0	3	1834116	15376	4
sweech	swiJ	6	1	7	569731	15364	4
dorlt	d9lt	5	0	8	554676	12734	4
scrowl	skr6l	6	2	2	378440	23775	5
fluck	flVk	5	6	12	140860	6990	4
boak	b5k	4	6	29	109085	4071	3
hoante	h5nt	6	0	8	1093119	19440	4
zersh	z3S	5	0	0	464614	1963	3
meam	mim	4	8	21	496895	21488	3
croalt	kr5lt	6	0	1	382209	19081	5
jauve	_9v	5	1	5	172001	187	3
skaubb	sk9b	6	0	5	48000	562	4
yourt	j9t	5	2	25	696571	196729	3
brolte	brQlt	6	0	0	387158	13458	5
prouse	pr6s	6	1	6	1016020	133327	4
ghrauc	gr9k	6	0	1	266741	1279	4
rhelph	rElf	6	0	3	1843740	24113	4
gwault	gw9lt	6	0	0	398801	2198	5
plirg	pl3g	5	0	2	245350	970	4
wougn	w6n	5	0	18	603110	90540	3
jurl	_3l	4	4	14	124865	546	3
sprolf	sprQlf	6	0	0	305381	13651	6
swermn	sw3m	6	0	7	442694	67910	4
squepe	skwip	6	0	3	107568	5688	5
tholf	TQlf	5	0	1	2159565	40099	4
gwiek	gw2k	5	0	0	230110	263	4
skril	skrIl	5	0	3	216290	855	5
hoil	h4l	4	8	21	338405	6297	3
bighmn	b2m	6	0	21	199720	68172	3
queig	kw1g	5	0	2	162477	7594	4
zelse	zEls	5	0	0	361257	11665	4
gweuge	gwu_	6	0	0	292040	2074	4
zeelt	zilt	5	0	0	287366	18129	4
psarne	s#n	6	0	20	554280	15087	3
ghron	grQn	5	0	9	586098	31346	4
snoase	sn5s	6	0	2	892617	16833	4
stonch	stQnJ	6	2	3	1711248	39502	5
shynck	SINk	6	0	13	269803	328	4
yownt	j6nt	5	0	4	419551	52494	4
phreph	frEf	6	0	2	459695	14331	4
peedge	pi_	6	1	19	565441	27157	3
draitt	dr1t	6	0	10	563267	22826	4
dwenge	dwEn_	6	0	0	530352	28675	5
beive	b1v	5	1	23	419835	31661	3
ghighm	g2m	6	0	15	650593	69765	3
gleack	glik	6	0	7	520127	88721	4
koage	k5_	5	0	12	101799	9786	3
skreal	skril	6	0	7	769506	51213	5
teche	tES	5	1	8	2046504	18568	3
spese	spis	5	0	6	502210	34616	4
whiss	wIs	5	5	24	999698	256009	3
smonck	smQNk	6	0	0	458915	17534	5
gniege	ni_	6	0	11	127120	379	3
ghoobe	gub	6	0	8	639795	13483	3
pruil	prul	5	0	7	184288	6320	4
floope	flup	6	0	7	335960	42604	4
hurmb	h3m	5	0	22	122531	4091	3
skrike	skr2k	6	1	2	266070	38475	5
fleaf	flif	5	1	5	374779	37108	4
sckiss	skIs	6	0	9	504701	7622	4
loac	l5k	4	4	34	208885	2676	3
laug	l9g	4	2	13	163444	8540	3
nault	n9lt	5	2	6	155326	2211	4
shrerb	Sr3b	6	0	1	820769	16197	4
lighnt	l2nt	6	0	8	349354	70968	4
bleath	bliT	6	2	5	2674632	74996	4
ghoach	g5J	6	0	8	616664	19768	3
rherle	r3l	6	0	15	2145510	154451	3
blalmn	bl{lm	6	0	0	260769	10043	5
sweite	sw1t	6	0	14	698660	26031	4
plooke	pluk	6	0	5	452212	85222	4
jirph	_3f	5	0	6	113503	15	3
tweuce	twus	6	0	2	330029	1837	4
friege	fri_	6	3	6	281217	22286	4
slawte	sl9t	6	0	8	221348	6301	4
pliegn	pl2n	6	0	7	174182	4318	4
gronte	grQnt	6	0	2	647681	40168	5
brurke	br3k	6	0	5	296803	5156	4
squebb	skwEb	6	0	2	36745	5698	5
gwinc	gwINk	5	0	0	677603	19914	5
gnolte	nQlt	6	0	3	370484	447	4
brielt	br2lt	6	0	0	238781	35177	5
twalf	tw{lf	5	0	0	424204	15236	5
hiz	hIz	3	7	28	361732	16	3
relt	rElt	4	8	15	489255	8145	4
sciche	skIS	6	0	8	2051803	74918	4
zoltch	zQlJ	6	0	0	287997	12185	4
grooph	gruf	6	0	7	411249	34373	4
spuke	spjuk	5	4	3	181357	1238	5
jouge	_6_	5	3	4	562547	42290	3
keiche	k1S	6	0	13	2219066	75001	3
thene	Tin	5	5	17	4025972	1388057	3
snuive	snuv	6	0	4	210711	31765	4
fimph	fImf	5	0	2	161656	951	4
tworbe	tw9b	6	0	0	685049	67628	4
thourv	T9v	6	0	4	2600384	127176	3
kronge	krQn_	6	0	0	586896	47219	5
drybb	drIb	5	0	4	32834	1562	4
rad	r{d	3	22	42	241540	3351	3
thaff	T{f	5	1	5	2471395	224986	3
scib	skIb	4	1	8	22020	0	4
stralv	str{lv	6	0	0	517396	41120	6
gourb	g9b	5	1	14	565792	49913	3
hulse	hVls	5	1	5	404485	6017	4
quytch	kwIJ	6	0	10	227766	11818	4
knawnt	n9nt	6	0	6	190292	2801	4
chalb	J{lb	5	1	0	887677	30768	4
tharse	T#s	6	0	2	3006719	274240	3
triph	trIf	5	3	6	151326	14786	4
gheame	gim	6	0	11	2356893	72831	3
loush	l6S	5	2	6	810763	27746	3
glurte	gl3t	6	0	3	235980	5347	4
phruck	frVk	6	0	3	179927	8594	4
knulph	nVlf	6	0	1	166786	1067	4
themph	TEmf	6	0	0	3714378	1352498	4
tarbe	t#b	5	0	8	483184	8208	3
thisk	TIsk	5	3	5	2630680	289332	4
thwi	Tw2	4	1	0	2075381	27	3
loarmb	l9m	6	0	20	388391	14913	3
rege	ri_	4	1	17	464222	221	3
smomph	smQmf	6	0	0	263784	2465	5
pherve	f3v	6	0	14	2150034	161285	3
thotch	TQJ	6	1	5	2435974	44416	3
gwiche	gwIS	6	0	1	2213058	76282	4
squilt	skwIlt	6	2	1	173706	21914	6
liegg	l2g	5	1	14	139901	5065	3
gwomp	gwQmp	5	0	1	278314	361	5
ghwezz	gwEz	6	0	1	283783	0	4
turlt	t3lt	5	0	2	134124	11297	4
tauce	t9s	5	2	26	205973	1893	3
leinte	l1nt	6	0	11	814693	13595	4
smilph	smIlf	6	0	0	187738	14347	5
